group_id,participants,player_id,round_number,quantity,group_commodities,starting_points,costs,utilities,individual_commodities,nonparticipant_taxes,created,treatment,gamma,price,created_withinround
1,"[1, 2]",1,2,6,"[6, 0, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[735.0, 735.0, 465.0, 465.0]","[121.6141439142668, 139.96428115772966, 145.63653387800738, 161.27616066858735]","[2465.0, 3265.0, 3535.0, 4335.0]","[0.0, 0.0, 465.0, 465.0]",20/07/2023 10:53:59,MGL,15,400,21.311482906341553
1,"[1, 2]",2,2,9,"[6, 9, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1533.75, 1533.75, 1466.25, 1466.25]","[158.0941175376238, 192.3375938291836, 194.95191714881904, 223.62077273813364]","[1666.25, 2466.25, 2533.75, 3333.75]","[0.0, 0.0, 1466.25, 1466.25]",20/07/2023 10:54:01,MGL,15,400,24.084012746810913
1,"[1, 2]",2,2,10,"[6, 10, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1660.0, 1660.0, 1540.0, 1540.0]","[156.97133496278866, 193.49418595916518, 198.39354828219592, 228.38563877792316]","[1540.0, 2340.0, 2460.0, 3260.0]","[0.0, 0.0, 1540.0, 1540.0]",20/07/2023 10:54:05,MGL,15,400,27.495032787322998
1,"[1, 2]",2,2,11,"[6, 11, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1793.75, 1793.75, 1606.25, 1606.25]","[154.61646096066227, 193.6653040686431, 201.7269193736919, 233.01019291009567]","[1406.25, 2206.25, 2393.75, 3193.75]","[0.0, 0.0, 1606.25, 1606.25]",20/07/2023 10:54:05,MGL,15,400,28.125142574310303
1,"[1, 2]",2,2,12,"[6, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1935.0, 1935.0, 1665.0, 1665.0]","[150.89731607951148, 192.79522815671552, 205.0121947592386, 237.54999473794985]","[1265.0, 2065.0, 2335.0, 3135.0]","[0.0, 0.0, 1665.0, 1665.0]",20/07/2023 10:54:06,MGL,15,400,28.68916893005371
1,"[1, 2]",1,2,7,"[7, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1993.75, 1993.75, 1806.25, 1806.25]","[151.38939857202686, 195.24023663169436, 204.159863832243, 238.49790355472732]","[1206.25, 2006.25, 2193.75, 2993.75]","[0.0, 0.0, 1806.25, 1806.25]",20/07/2023 10:54:09,MGL,15,400,31.96782636642456
1,"[1, 2]",1,2,8,"[8, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2060.0, 2060.0, 1940.0, 1940.0]","[150.996688705415, 196.9771560359221, 202.9778313018444, 239.165214862028]","[1140.0, 1940.0, 2060.0, 2860.0]","[0.0, 0.0, 1940.0, 1940.0]",20/07/2023 10:54:10,MGL,15,400,32.449249267578125
1,"[1, 2]",1,2,9,"[9, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2133.75, 2133.75, 2066.25, 2066.25]","[149.63706091740775, 197.9678004120872, 201.51612838678696, 239.60123121553445]","[1066.25, 1866.25, 1933.75, 2733.75]","[0.0, 0.0, 2066.25, 2066.25]",20/07/2023 10:54:10,MGL,15,400,32.9616584777832
1,"[1, 2]",1,2,10,"[10, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2215.0, 2215.0, 2185.0, 2185.0]","[147.20733677368122, 198.1665965797465, 199.82492337043448, 239.85412233272123]","[985.0, 1785.0, 1815.0, 2615.0]","[0.0, 0.0, 2185.0, 2185.0]",20/07/2023 10:54:11,MGL,15,400,33.5330855846405
1,"[1, 2]",1,2,11,"[11, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2303.75, 2303.75, 2296.25, 2296.25]","[143.57489334838453, 197.5189864291532, 197.95517169298708, 239.97135245691302]","[896.25, 1696.25, 1703.75, 2503.75]","[0.0, 0.0, 2296.25, 2296.25]",20/07/2023 10:54:11,MGL,15,400,34.06234407424927
1,"[1, 2]",1,2,12,"[12, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2400.0, 2400.0, 2400.0, 2400.0]","[138.56406460551017, 195.95917942265424, 195.95917942265424, 239.99999999999997]","[800.0, 1600.0, 1600.0, 2400.0]","[0.0, 0.0, 2400.0, 2400.0]",20/07/2023 10:54:12,MGL,15,400,34.64504432678223
1,"[1, 2]",1,2,11,"[11, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2303.75, 2303.75, 2296.25, 2296.25]","[143.57489334838453, 197.5189864291532, 197.95517169298708, 239.97135245691302]","[896.25, 1696.25, 1703.75, 2503.75]","[0.0, 0.0, 2296.25, 2296.25]",20/07/2023 10:54:14,MGL,15,400,36.67483186721802
1,"[1, 2]",1,2,10,"[10, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2215.0, 2215.0, 2185.0, 2185.0]","[147.20733677368122, 198.1665965797465, 199.82492337043448, 239.85412233272123]","[985.0, 1785.0, 1815.0, 2615.0]","[0.0, 0.0, 2185.0, 2185.0]",20/07/2023 10:54:14,MGL,15,400,36.84210538864136
1,"[1, 2]",1,2,9,"[9, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2133.75, 2133.75, 2066.25, 2066.25]","[149.63706091740775, 197.9678004120872, 201.51612838678696, 239.60123121553445]","[1066.25, 1866.25, 1933.75, 2733.75]","[0.0, 0.0, 2066.25, 2066.25]",20/07/2023 10:54:14,MGL,15,400,37.00883460044861
1,"[1, 2]",1,2,8,"[8, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2060.0, 2060.0, 1940.0, 1940.0]","[150.996688705415, 196.9771560359221, 202.9778313018444, 239.165214862028]","[1140.0, 1940.0, 2060.0, 2860.0]","[0.0, 0.0, 1940.0, 1940.0]",20/07/2023 10:54:14,MGL,15,400,37.22630715370178
1,"[1, 2]",1,2,7,"[7, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1993.75, 1993.75, 1806.25, 1806.25]","[151.38939857202686, 195.24023663169436, 204.159863832243, 238.49790355472732]","[1206.25, 2006.25, 2193.75, 2993.75]","[0.0, 0.0, 1806.25, 1806.25]",20/07/2023 10:54:15,MGL,15,400,37.440956592559814
1,"[1, 2]",1,2,6,"[6, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1935.0, 1935.0, 1665.0, 1665.0]","[150.89731607951148, 192.79522815671552, 205.0121947592386, 237.54999473794985]","[1265.0, 2065.0, 2335.0, 3135.0]","[0.0, 0.0, 1665.0, 1665.0]",20/07/2023 10:54:15,MGL,15,400,37.90334749221802
1,"[1, 2]",1,2,5,"[5, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1883.75, 1883.75, 1516.25, 1516.25]","[149.58693124735194, 189.6740625388722, 205.48418430623803, 236.2705017559323]","[1316.25, 2116.25, 2483.75, 3283.75]","[0.0, 0.0, 1516.25, 1516.25]",20/07/2023 10:54:18,MGL,15,400,40.36725211143494
1,"[1, 2]",1,2,4,"[4, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1840.0, 1840.0, 1360.0, 1360.0]","[147.5127113166862, 185.903200617956, 205.52372125864207, 234.60605277784288]","[1360.0, 2160.0, 2640.0, 3440.0]","[0.0, 0.0, 1360.0, 1360.0]",20/07/2023 10:54:18,MGL,15,400,41.21738052368164
1,"[1, 2]",1,2,3,"[3, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1803.75, 1803.75, 1196.25, 1196.25]","[144.71955638406303, 181.50413218436654, 205.07620534815834, 232.5]","[1396.25, 2196.25, 2803.75, 3603.75]","[0.0, 0.0, 1196.25, 1196.25]",20/07/2023 10:54:19,MGL,15,400,41.97979545593262
1,"[1, 2]",1,2,2,"[2, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1775.0, 1775.0, 1025.0, 1025.0]","[141.24446891825534, 176.4936259472279, 204.08331631958552, 229.89127865145298]","[1425.0, 2225.0, 2975.0, 3775.0]","[0.0, 0.0, 1025.0, 1025.0]",20/07/2023 10:54:20,MGL,15,400,42.84440517425537
1,"[1, 2]",1,2,3,"[3, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1803.75, 1803.75, 1196.25, 1196.25]","[144.71955638406303, 181.50413218436654, 205.07620534815834, 232.5]","[1396.25, 2196.25, 2803.75, 3603.75]","[0.0, 0.0, 1196.25, 1196.25]",20/07/2023 10:54:22,MGL,15,400,44.26124095916748
1,"[1, 2]",1,2,4,"[4, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1840.0, 1840.0, 1360.0, 1360.0]","[147.5127113166862, 185.903200617956, 205.52372125864207, 234.60605277784288]","[1360.0, 2160.0, 2640.0, 3440.0]","[0.0, 0.0, 1360.0, 1360.0]",20/07/2023 10:54:22,MGL,15,400,44.41083216667175
1,"[1, 2]",1,2,5,"[5, 12, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1883.75, 1883.75, 1516.25, 1516.25]","[149.58693124735194, 189.6740625388722, 205.48418430623803, 236.2705017559323]","[1316.25, 2116.25, 2483.75, 3283.75]","[0.0, 0.0, 1516.25, 1516.25]",20/07/2023 10:54:22,MGL,15,400,44.62475800514221
1,"[1, 3]",1,3,7,"[7, 0, 0, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[883.75, 516.25, 883.75, 516.25]","[70.8078385491324, 101.9129530530835, 88.39541843331023, 114.8313981452808]","[716.25, 1483.75, 1116.25, 1883.75]","[0.0, 516.25, 0.0, 516.25]",20/07/2023 10:54:49,MGL,15,400,2.8712940216064453
1,"[1, 3]",3,3,8,"[7, 0, 8, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1503.75, 1496.25, 1503.75, 1496.25]","[37.99671038392666, 86.92669325356856, 86.27716963368698, 116.43131022195018]","[96.25, 503.75, 496.25, 903.75]","[0.0, 1496.25, 0.0, 1496.25]",20/07/2023 10:54:53,MGL,15,400,6.577415704727173
1,"[1, 3]",3,3,9,"[7, 0, 9, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1615.0, 1585.0, 1615.0, 1585.0]","[0.0, 81.48619514985344, 78.48566748139433, 114.19281938896158]","[0.0, 415.0, 385.0, 815.0]","[0.0, 1585.0, 0.0, 1585.0]",20/07/2023 10:54:54,MGL,15,400,7.9559760093688965
1,"[1, 3]",3,3,10,"[7, 0, 10, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1733.75, 1666.25, 1733.75, 1666.25]","[0.0, 75.32429886829348, 67.2774107706294, 111.68594360974885]","[0.0, 333.75, 266.25, 733.75]","[0.0, 1666.25, 0.0, 1666.25]",20/07/2023 10:54:54,MGL,15,400,8.452880144119263
1,"[1, 3]",3,3,11,"[7, 0, 11, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1860.0, 1740.0, 1860.0, 1740.0]","[0.0, 68.41052550594827, 50.19960159204453, 108.99541274750969]","[0.0, 260.0, 140.0, 660.0]","[0.0, 1740.0, 0.0, 1740.0]",20/07/2023 10:54:55,MGL,15,400,8.981712102890015
1,"[1, 3]",3,3,10,"[7, 0, 10, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1733.75, 1666.25, 1733.75, 1666.25]","[0.0, 75.32429886829348, 67.2774107706294, 111.68594360974885]","[0.0, 333.75, 266.25, 733.75]","[0.0, 1666.25, 0.0, 1666.25]",20/07/2023 10:54:56,MGL,15,400,10.37047529220581
1,"[1, 3]",3,3,9,"[7, 0, 9, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1615.0, 1585.0, 1615.0, 1585.0]","[0.0, 81.48619514985344, 78.48566748139433, 114.19281938896158]","[0.0, 415.0, 385.0, 815.0]","[0.0, 1585.0, 0.0, 1585.0]",20/07/2023 10:54:57,MGL,15,400,11.302231550216675
1,"[1, 3]",3,3,8,"[7, 0, 8, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1503.75, 1496.25, 1503.75, 1496.25]","[37.99671038392666, 86.92669325356856, 86.27716963368698, 116.43131022195018]","[96.25, 503.75, 496.25, 903.75]","[0.0, 1496.25, 0.0, 1496.25]",20/07/2023 10:54:58,MGL,15,400,11.799530267715454
1,"[1, 3]",3,3,7,"[7, 0, 7, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1400.0, 1400.0, 1400.0, 1400.0]","[52.91502622129181, 91.6515138991168, 91.6515138991168, 118.32159566199232]","[200.0, 600.0, 600.0, 1000.0]","[0.0, 1400.0, 0.0, 1400.0]",20/07/2023 10:54:58,MGL,15,400,12.349501132965088
1,"[1, 3]",3,3,6,"[7, 0, 6, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1303.75, 1296.25, 1303.75, 1296.25]","[62.05844019954095, 95.64909827071031, 95.13805757949864, 119.78626799429055]","[296.25, 703.75, 696.25, 1103.75]","[0.0, 1296.25, 0.0, 1296.25]",20/07/2023 10:54:59,MGL,15,400,13.097251415252686
1,"[1, 3]",3,3,5,"[7, 0, 5, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1215.0, 1185.0, 1215.0, 1185.0]","[67.9705818718657, 98.89388252060893, 97.05668446840743, 120.74767078498863]","[385.0, 815.0, 785.0, 1215.0]","[0.0, 1185.0, 0.0, 1185.0]",20/07/2023 10:55:00,MGL,15,400,13.862001180648804
1,"[1, 3]",3,3,4,"[7, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1133.75, 1066.25, 1133.75, 1066.25]","[71.61529166316367, 101.34717558965322, 97.61531642114366, 121.12493550049882]","[466.25, 933.75, 866.25, 1333.75]","[0.0, 1066.25, 0.0, 1066.25]",20/07/2023 10:55:01,MGL,15,400,14.647018432617188
1,"[1, 3]",3,3,3,"[7, 0, 3, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1060.0, 940.0, 1060.0, 940.0]","[73.48469228349535, 102.95630140987001, 96.95359714832658, 120.83045973594572]","[540.0, 1060.0, 940.0, 1460.0]","[0.0, 940.0, 0.0, 940.0]",20/07/2023 10:55:02,MGL,15,400,15.509939432144165
1,"[1, 3]",3,3,4,"[7, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1133.75, 1066.25, 1133.75, 1066.25]","[71.61529166316367, 101.34717558965322, 97.61531642114366, 121.12493550049882]","[466.25, 933.75, 866.25, 1333.75]","[0.0, 1066.25, 0.0, 1066.25]",20/07/2023 10:55:04,MGL,15,400,17.487574815750122
1,"[1, 3]",1,3,8,"[8, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1260.0, 1140.0, 1260.0, 1140.0]","[63.874877690685246, 101.58740079360234, 94.23375191511796, 122.96340919151518]","[340.0, 860.0, 740.0, 1260.0]","[0.0, 1140.0, 0.0, 1140.0]",20/07/2023 10:55:07,MGL,15,400,20.978314638137817
1,"[1, 3]",1,3,9,"[9, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1393.75, 1206.25, 1393.75, 1206.25]","[51.780787943019945, 101.58124826955023, 88.77640452282351, 124.57427503300991]","[206.25, 793.75, 606.25, 1193.75]","[0.0, 1206.25, 0.0, 1206.25]",20/07/2023 10:55:08,MGL,15,400,21.748389959335327
1,"[1, 3]",1,3,8,"[8, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1260.0, 1140.0, 1260.0, 1140.0]","[63.874877690685246, 101.58740079360234, 94.23375191511796, 122.96340919151518]","[340.0, 860.0, 740.0, 1260.0]","[0.0, 1140.0, 0.0, 1140.0]",20/07/2023 10:55:09,MGL,15,400,22.948880195617676
1,"[1, 3]",1,3,7,"[7, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1133.75, 1066.25, 1133.75, 1066.25]","[71.61529166316367, 101.34717558965322, 97.61531642114366, 121.12493550049882]","[466.25, 933.75, 866.25, 1333.75]","[0.0, 1066.25, 0.0, 1066.25]",20/07/2023 10:55:09,MGL,15,400,23.43488597869873
1,"[1, 3]",1,3,6,"[6, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[1015.0, 985.0, 1015.0, 985.0]","[76.48529270389177, 100.74720839804942, 99.24716620639605, 118.95377253370319]","[585.0, 1015.0, 985.0, 1415.0]","[0.0, 985.0, 0.0, 985.0]",20/07/2023 10:55:10,MGL,15,400,23.85810947418213
1,"[1, 3]",1,3,5,"[5, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[903.75, 896.25, 903.75, 896.25]","[79.15964881175256, 99.66819954228129, 99.32899878685983, 116.33464660194743]","[696.25, 1103.75, 1096.25, 1503.75]","[0.0, 896.25, 0.0, 896.25]",20/07/2023 10:55:11,MGL,15,400,24.50643539428711
1,"[1, 3]",1,3,4,"[4, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[800.0, 800.0, 800.0, 800.0]","[80.00000000000001, 97.97958971132714, 97.97958971132714, 113.13708498984761]","[800.0, 1200.0, 1200.0, 1600.0]","[0.0, 800.0, 0.0, 800.0]",20/07/2023 10:55:11,MGL,15,400,25.242401599884033
1,"[1, 3]",1,3,3,"[3, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[703.75, 696.25, 703.75, 696.25]","[79.20700726577164, 95.53140844769327, 95.25623339183636, 109.20737154606368]","[896.25, 1303.75, 1296.25, 1703.75]","[0.0, 696.25, 0.0, 696.25]",20/07/2023 10:55:12,MGL,15,400,26.085814476013184
1,"[1, 3]",1,3,4,"[4, 0, 4, 0]","[1600.0, 2000.0, 2000.0, 2400.0]","[800.0, 800.0, 800.0, 800.0]","[80.00000000000001, 97.97958971132714, 97.97958971132714, 113.13708498984761]","[800.0, 1200.0, 1200.0, 1600.0]","[0.0, 800.0, 0.0, 800.0]",20/07/2023 10:55:16,MGL,15,400,29.780367612838745
1,"[1, 3]",1,4,6,"[6, 0, 0, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[735.0, 465.0, 735.0, 465.0]","[121.6141439142668, 145.63653387800738, 139.96428115772966, 161.27616066858735]","[2465.0, 3535.0, 3265.0, 4335.0]","[0.0, 465.0, 0.0, 465.0]",20/07/2023 10:56:25,MGL,15,400,29.922933101654053
1,"[1, 3]",3,4,12,"[6, 0, 12, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[1935.0, 1665.0, 1935.0, 1665.0]","[150.89731607951148, 205.0121947592386, 192.79522815671552, 237.54999473794985]","[1265.0, 2335.0, 2065.0, 3135.0]","[0.0, 1665.0, 0.0, 1665.0]",20/07/2023 10:56:31,MGL,15,400,36.017515897750854
1,"[1, 3]",3,4,13,"[6, 0, 13, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2083.75, 1716.25, 2083.75, 1716.25]","[145.63224230918098, 208.305664829356, 190.81077013627927, 242.05629510508504]","[1116.25, 2283.75, 1916.25, 3083.75]","[0.0, 1716.25, 0.0, 1716.25]",20/07/2023 10:56:32,MGL,15,400,36.70012807846069
1,"[1, 3]",1,4,9,"[9, 0, 13, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2260.0, 2140.0, 2260.0, 2140.0]","[143.8054240979804, 202.28692493584452, 195.65275362232958, 241.90907382733704]","[940.0, 1860.0, 1740.0, 2660.0]","[0.0, 2140.0, 0.0, 2140.0]",20/07/2023 10:56:35,MGL,15,400,39.933868646621704
1,"[1, 3]",1,4,5,"[5, 0, 13, 0]","[3200.0, 4000.0, 4000.0, 4800.0]","[2040.0, 1560.0, 2040.0, 1560.0]","[144.49913494550754, 209.57099035887575, 187.8297101099823, 241.49534156997726]","[1160.0, 2440.0, 1960.0, 3240.0]","[0.0, 1560.0, 0.0, 1560.0]",20/07/2023 10:56:38,MGL,15,400,42.48367667198181
